Etape	m2	p2
1093	619	0
1094	619	0
1095	619	0
1096	620	0
1097	620	0
1098	620	0
1099	621	0
1100	621	0
1101	621	0
1102	621	0
1103	622	0
1104	623	0
1105	624	0
1106	625	0
1107	626	0
1108	627	0
1109	628	0
1110	628	0
1111	629	0
1112	629	0
1113	630	0
1114	630	0
1115	631	0
1116	631	0
1117	632	0
1118	632	0
1119	632	0
1120	632	0
1121	633	0
1122	634	0
1123	634	0
1124	635	0
1125	636	0
1126	637	0
1127	638	0
1128	639	0
1129	639	0
1130	639	0
1131	640	0
1132	641	0
1133	642	0
1134	642	0
1135	642	0
1136	642	0
1137	642	0
1138	643	0
1139	643	0
1140	644	0
1141	645	0
1142	645	0
1143	645	0
1144	646	0
1145	646	0
1146	647	0
1147	648	0
1148	648	0
1149	648	0
1150	648	0
1151	648	0
1152	648	0
1153	648	0
1154	649	0
1155	650	0
1156	650	0
1157	651	0
1158	652	0
1159	653	0
1160	654	0
1161	656	0
1162	656	0
1163	656	0
1164	656	0
1165	657	0
1166	657	0
1167	657	0
1168	658	0
1169	658	0
1170	658	0
1171	658	0
1172	658	0
1173	658	0
1174	658	0
1175	658	0
1176	659	0
1177	660	0
1178	660	0
1179	660	0
1180	660	0
1181	660	0
1182	660	0
1183	661	0
1184	661	0
1185	661	0
1186	661	0
1187	661	0
1188	661	0
1189	661	0
1190	661	0
1191	662	0
1192	662	0
1193	662	0
1194	662	0
1195	662	0
1196	662	0
1197	662	0
1198	663	0
1199	663	0
1200	663	0
1201	663	0
1202	663	0
1203	663	0
1204	663	0
1205	663	0
1206	664	0
1207	665	0
1208	665	0
1209	666	0
1210	667	0
1211	667	0
1212	668	0
1213	668	0
1214	668	0
1215	669	0
1216	669	0
1217	669	0
1218	669	0
1219	669	0
1220	670	0
1221	670	0
1222	671	0
1223	672	0
1224	673	0
1225	673	0
1226	673	0
1227	673	0
1228	673	0
1229	674	0
1230	674	0
1231	674	0
1232	675	0
1233	675	0
1234	675	0
1235	675	0
1236	675	0
1237	675	0
1238	675	0
1239	676	0
1240	677	0
1241	678	0
1242	678	0
1243	679	0
1244	679	0
1245	679	0
1246	679	0
1247	679	0
1248	679	0
1249	679	0
1250	679	0
1251	680	0
1252	681	0
1253	682	0
1254	682	0
1255	683	0
1256	684	0
1257	684	0
1258	685	0
1259	685	0
1260	685	0
1261	685	0
1262	686	0
1263	686	0
1264	686	0
1265	687	0
1266	688	0
1267	688	0
1268	689	0
1269	690	0
1270	691	0
1271	691	0
1272	691	0
1273	691	0
1274	691	0
1275	691	0
1276	691	0
1277	692	0
1278	692	0
1279	692	0
1280	692	0
1281	693	0
1282	693	0
1283	694	0
1284	694	0
1285	695	0
1286	696	0
1287	696	0
1288	697	0
1289	697	0
1290	697	0
1291	697	0
1292	698	0
1293	699	0
1294	699	0
1295	699	0
1296	700	0
1297	700	0
1298	700	0
1299	701	0
1300	702	0
1301	702	0
1302	702	0
1303	702	0
1304	702	0
1305	703	0
1306	703	0
1307	704	0
1308	704	0
1309	705	0
1310	705	0
1311	706	0
1312	707	0
1313	707	0
1314	707	0
1315	707	0
1316	708	0
1317	708	0
1318	708	0
1319	709	0
1320	709	0
1321	709	0
1322	709	0
1323	709	0
1324	709	0
1325	709	0
1326	709	0
1327	709	0
1328	710	0
1329	710	0
1330	710	0
1331	710	0
1332	711	0
1333	711	0
1334	711	0
1335	712	0
1336	712	0
1337	712	0
1338	713	0
1339	713	0
1340	714	0
1341	714	0
1342	714	0
1343	715	0
1344	715	0
1345	716	0
1346	717	0
1347	717	0
1348	717	0
1349	717	0
1350	717	0
1351	717	0
1352	717	0
1353	718	0
1354	718	0
1355	719	0
1356	719	0
1357	719	0
1358	720	0
1359	721	0
1360	721	0
1361	721	0
1362	721	0
1363	721	0
1364	722	0
1365	723	0
1366	723	0
1367	723	0
1368	723	0
1369	723	0
1370	723	0
1371	723	0
1372	723	0
1373	724	0
1374	725	0
1375	725	0
1376	725	0
1377	726	0
1378	727	0
1379	727	0
1380	727	0
1381	727	0
1382	727	0
1383	727	0
1384	727	0
1385	727	0
1386	727	0
1387	728	0
1388	728	0
1389	729	0
1390	729	0
1391	729	0
1392	729	0
1393	729	0
1394	729	0
1395	729	0
1396	729	0
1397	729	0
1398	729	0
1399	730	0
1400	730	0
1401	730	0
1402	731	0
1403	732	0
1404	732	0
1405	732	0
1406	732	0
1407	732	0
1408	732	0
1409	732	0
1410	732	0
1411	732	0
1412	732	0
1413	733	0
1414	732	0
1415	733	0
1416	733	0
1417	734	0
1418	734	0
1419	734	0
1420	735	0
1421	735	0
1422	735	0
1423	736	0
1424	736	0
1425	736	0
1426	737	0
1427	738	0
1428	738	0
1429	738	0
1430	739	0
1431	739	0
1432	739	0
1433	739	0
1434	739	0
1435	739	0
1436	739	0
1437	739	0
1438	739	0
1439	739	0
1440	739	0
1441	740	0
1442	741	0
1443	741	0
1444	741	0
1445	742	0
1446	742	0
1447	742	0
1448	742	0
1449	743	0
1450	743	0
1451	743	0
1452	743	0
1453	743	0
1454	744	0
1455	744	0
1456	744	0
1457	744	0
1458	744	0
1459	744	0
1460	745	0
1461	746	0
1462	746	0
1463	746	0
1464	747	0
1465	747	0
1466	747	0
1467	748	0
1468	748	0
1469	748	0
1470	748	0
1471	748	0
1472	748	0
1473	748	0
1474	748	0
1475	748	0
1476	749	0
1477	749	0
1478	750	0
1479	750	0
1480	750	0
1481	750	0
1482	750	0
1483	750	0
1484	750	0
1485	751	0
1486	751	0
1487	752	0
1488	752	0
1489	752	0
1490	752	0
1491	753	0
1492	753	0
1493	753	0
1494	753	0
1495	753	0
1496	753	0
1497	754	0
1498	755	0
1499	755	0
1500	756	0
1501	756	0
1502	756	0
1503	756	0
1504	756	0
1505	756	0
1506	756	0
1507	757	0
1508	758	0
1509	758	0
